src,tgt
"Damaji refused to sign an agreement, stating that he was only a subordinate, and asked Balaji Rao to consult Umabai.",দামাজীয়ে নিজকে কেৱল এজন অধীনস্থ বুলি উল্লেখ কৰি চুক্তি স্বাক্ষৰ কৰিবলৈ অস্বীকাৰ কৰিছিল আৰু বালাজী ৰাওক উমাবাইৰ ওচৰ চাপিবলৈ কৈছিল।
"Timurid and Perso-Islamic culture began to merge and blend with indigenous Indian elements, and a distinct Indo-Persian culture emerged characterized by Mughal style arts, painting, and architecture.","টাইমুৰিদ আৰু পাৰ্চ’-ইছলামিক সংস্কৃতিৰ মাজত থলুৱা ভাৰতীয় উপাদানৰ সৈতে সংমিশ্ৰণ আৰু মিলা-মিচা হ’বলৈ ধৰিলে আৰু মোগল শৈলীৰ কলা, চিত্ৰকলা, স্থাপত্যৰ দ্বাৰা এক সুকীয়া ভাৰত-পাৰ্চিয়ান সংস্কৃতিৰ উদ্ভৱ হ'ল।"
He also encouraged bookbinding to become a high art.,তেওঁ কিতাপ বন্ধোৱা কাৰ্যকো এক উন্নত কলা হিচাপে গঢ়ি তুলিবলৈ উৎসাহিত কৰিছিল।
He did much of the cataloging himself through three main groupings.,তেওঁ তিনিটা মুখ্য গোটৰ জৰিয়তে নিজকে তালিকাভুক্ত কৰাৰ বেছিভাগ কাম কৰিছিল।
Akbar himself was a patron of art and culture.,আকবৰ নিজেই এজন কলা আৰু সংস্কৃতিৰ পৃষ্ঠপোষক আছিল।
"Mughal India developed a strong and stable economy, leading to commercial expansion and greater patronage of culture.","মোগলসকলে ভাৰতত এক শক্তিশালী আৰু সুস্থিৰ অৰ্থনীতি বিকশিত কৰিছিল, যাৰ ফলত বাণিজ্যিক সম্প্ৰসাৰণ আৰু সাংস্কৃতিক ক্ষেত্ৰত অধিক পৃষ্ঠপোষকতা লাভ কৰিছিল।"
"Balaji Rao demanded from him half of Gujarat's territories in addition to a war indemnity of 2,500,000.","বালাজী ৰাওৱে তেওঁৰ পৰা ২,৫০০,০০০ টকাৰ যুদ্ধ ক্ষতিপূৰণৰ উপৰিও গুজৰাটৰ আধা ভূখণ্ড দাবী কৰিছিল।"
Gaekwad was compelled to declare ceasefire and meet Balaji Rao to discuss the terms of a peace treaty.,গাইকোৱাড়ে যুদ্ধবিৰতি ঘোষণা কৰিবলৈ আৰু বালাজী ৰাওক সাক্ষাৎ কৰি শান্তি চুক্তিৰ চৰ্তসমূহৰ সন্দৰ্ভত আলোচনা কৰিবলৈ বাধ্য হৈছিল।
"Following a brief confrontation, however, Muhammad Hakim accepted Akbar's supremacy and retreated back to Kabul.",অৱশ্যে এক চমু সংঘৰ্ষৰ পিছত মহম্মদ হাকিমে আকবৰৰ আধিপত্যক স্বীকাৰ কৰিলে আৰু কাবুললৈ পিছুৱাই গ'ল।
They too were slain and driven out of the empire.,তেওঁলোককো হত্যা কৰা হৈছিল আৰু সাম্ৰাজ্যৰ পৰা খেদি পঠিওৱা হৈছিল।
Several Uzbek chieftains were subsequently slain and the rebel leaders trampled to death under elephants.,পৰৱৰ্তী সময়ত কেইবাজনো উজবেক মুখীয়ালক হত্যা কৰা হৈছিল আৰু বিদ্ৰোহী নেতাসকলক হাতীৰে গচকাই হত্যা কৰা হৈছিল।
"Following a third revolt with the proclamation of Mirza Muhammad Hakim, Akbar's brother and the Mughal ruler of Kabul, as emperor, his patience was finally exhausted.",আকবৰৰ ভাতৃ তথা কাবুলৰ মোগল শাসক মিৰ্জা মহম্মদ হাকিমক সম্ৰাট হিচাপে ঘোষণা কৰাৰ লগে লগে হোৱা তৃতীয়টো বিদ্ৰোহৰ পিছত অৱশেষত তেওঁৰ ধৈৰ্য্যৰ সীমা চেৰাই যায়।
Akbar now sought to eliminate the threat of over-mighty subjects.,আকবৰে এতিয়া প্রবল পৰাক্রমী লোকসকলৰ ভাবুকি দূৰ কৰিবলৈ চেষ্টা কৰিছিল।
"Still alive, Adham Khan was dragged up and thrown to the courtyard once again by Akbar to ensure his death.",তেতিয়াও জীয়াই থকা আধাম খানক আকবৰে তেওঁৰ মৃত্যু নিশ্চিত কৰিবলৈ আকৌ এবাৰ ওপৰলৈ উঠাই নি চোতাললৈ দলিয়াই দিছিল।
"When Adham Khan confronted Akbar following another dispute in 1562, he was struck down by the emperor and thrown from a terrace into the palace courtyard at Agra.","১৫৬২ চনত যেতিয়া আধাম খানে আন এটা বিবাদৰ পিছত আকবৰৰ সৈতে মুখামুখি হৈছিল, তেতিয়া তেওঁক সম্ৰাটে আঘাত কৰিছিল আৰু এখন চাদৰ পৰা আগ্ৰাৰ ৰাজপ্ৰাসাদৰ চোতাললৈ দলিয়াই দিছিল।"
"Baz Bahadur survived as a refugee at various courts until, eight years later in 1570, he took service under Akbar.",বাজ বাহাদুৰে আঠ বছৰৰ পিছত ১৫৭০ চনত আকবৰৰ অধীনত সেৱা গ্ৰহণ কৰালৈকে বিভিন্ন আদালতত শৰণাৰ্থী হিচাপে জীৱন নিৰ্বাহ কৰি আছিল।
Pir Muhammad Khan was then sent in pursuit of Baz Bahadur but was beaten back by the alliance of the rulers of Khandesh and Berar.,সেই সময়ত পীৰ মহম্মদ খানক বাজ বাহাদুৰৰ অনুসন্ধানত পঠোৱা হৈছিল কিন্তু খানদেশ আৰু বেৰাৰৰ শাসকসকলৰ মিত্ৰতাই তেওঁক উভতি আহিবলৈ বাধ্য কৰাইছিল।
"He then joined Trimbakrao, who had been keeping a watch on Gaekwad's army.",তাৰপিছত তেওঁ গাইকোৱাড় সেনাৰ ওপৰত চকু দি থকা ত্ৰিম্বকাৰাওৰ লগ হৈছিল।
"He reached Satara on 24 April, and stormed the Yavateshwar garrison, defeating Tarabai's forces.",২৪ এপ্ৰিলত তেওঁ ছাতাৰাত উপস্থিত হৈছিল আৰু য়ৱতেশ্বৰ দুৰ্গৰক্ষী বাহিনীক আক্ৰমণ কৰি তাৰাবাইৰ বাহিনীক পৰাস্ত কৰিছিল।
"The Afghan ruler, Baz Bahadur, was defeated at the Battle of Sarangpur and fled to Khandesh for refuge leaving behind his harem, treasure, and war elephants.","আফগান শাসক বাজ বাহাদুৰে সাৰংপুৰৰ যুদ্ধত পৰাজিত হৈ নিজৰ হাৰেম, ধন-সম্পত্তি, যুদ্ধৰ হাতী আদি এৰি আশ্ৰয় বিচাৰি খানদেশলৈ পলায়ন কৰিছিল।"
"Akbar forgave him, however, and gave him the option of either continuing in his court or resuming his pilgrimage; Bairam chose the latter.",অৱশ্যে আকবৰে তেওঁক ক্ষমা কৰি তেওঁক হয় তেওঁৰ ৰাজসভাত থাকিবলৈ বা পুনৰ তীৰ্থযাত্ৰা আৰম্ভ কৰাৰ বিকল্প দিছিল; বৈৰামে পিছৰটো বাছনি কৰিছিল।
"Urged on by his foster mother, Maham Anga, and his relatives, Akbar decided to dispense with the services of Bairam Khan.",আকবৰে নিজৰ ধাই মাতৃ মহাম আংগা আৰু তেওঁৰ আত্মীয়-স্বজনৰ অনুৰোধ মৰ্মে বৈৰাম খানৰ সেৱাৰ পৰা আতৰি থকাৰ সিদ্ধান্ত লয়।
"He led the task of forging a united India, successfully integrating into the newly independent nation those British colonial provinces that formed the Dominion of India.","তেওঁ এখন ঐক্যবদ্ধ ভাৰত গঢ়াৰ কামৰ নেতৃত্ব দিছিল, ভাৰতৰ সাৰ্বভৌমত্ব গঠন কৰা সেই ব্ৰিটিছ ঔপনিৱেশিক প্ৰদেশসমূহক সফলতাৰে নতুনকৈ স্বাধীন হোৱা ৰাষ্ট্ৰৰ সৈতে একত্ৰিত কৰিছিল।"
"By 1559, the Mughals had launched a drive to the south into Rajputana and Malwa.",১৫৫৯ চনলৈ মোগলসকলে দক্ষিণ দিশত ৰাজপুতানা আৰু মালৱাত অভিযান আৰম্ভ কৰিছিল।
"In 1558, Akbar took possession of Ajmer, the aperture to Rajputana, after the defeat and flight of its Muslim ruler.",১৫৫৮ চনত ইয়াৰ মুছলমান শাসকৰ পৰাজয় আৰু পলায়নৰ পিছত আকবৰে ৰাজপুতানালৈ যোৱা সুৰংগ পথ আজমেৰ দখল কৰিছিল।
Akbar and his forces occupied Lahore and then seized Multan in the Punjab.,আকবৰ আৰু তেওঁৰ বাহিনীয়ে লাহোৰ দখল কৰাৰ পিছত পঞ্জাৱৰ মুলতান দখল কৰিছিল।
"Then he and Bairam Khan returned to Punjab to deal with Sikandar Shah, who had become active again.",তাৰ পিছত তেওঁ আৰু বৈৰাম খান পুনৰ সক্ৰিয় হৈ পৰা ছিকন্দৰ শ্বাহৰ সৈতে মোকাবিলা কৰিবলৈ পঞ্জাৱলৈ উভতি যায়।
Delhi was left under the regency of Tardi Baig Khan.,দিল্লীক টাৰ্ডি বেগ খানৰ ৰাজপ্ৰতিনিধিত্বৰ অধীনত এৰি দিয়া হৈছিল।
"Udai Singh retired to the hills of Mewar, leaving two Rajput warriors, Jaimal and Patta, in charge of the defence of his capital.",উদয় সিঙে দুজন ৰাজপুত যোদ্ধা জয়মল আৰু পাট্টাক তেওঁৰ ৰাজধানীৰ সুৰক্ষাৰ দায়িত্ব দি অৱসৰ লৈ মেৱাৰৰ পাহাৰলৈ যায়।
"Mughal power has been seen as owing to their mastery of the techniques of warfare, especially the use of firearms encouraged by Akbar.",মোগল শক্তি সমৰ কলাৰ নিপুণতাৰ বাবে বিশেষকৈ আকবৰে উৎসাহিত কৰা আগ্নেয়াস্ত্ৰৰ ব্যৱহাৰৰ দ্বাৰা বিখ্যাত হৈছিল।
"He sought the help of Ottomans, and also increasingly of Europeans, especially Portuguese and Italians, in procuring firearms and artillery.","তেওঁ অটোমানসকলৰ সহায় বিচাৰিছিল আৰু লগতে আগ্নেয়াস্ত্ৰ আৰু তোপ ক্ৰয় কৰাৰ ক্ষেত্ৰত ইউৰোপীয়, বিশেষকৈ পৰ্তুগীজ আৰু ইটালিয়ানসকলৰ সহায় বিচাৰিছিল।"
"The system persisted with few changes down to the end of the Mughal Empire, but was progressively weakened under his successors.","এই ব্যৱস্থাটো মোগল সাম্ৰাজ্যৰ শেষলৈকে কিছু পৰিৱৰ্তনৰ মাজেৰে স্থায়ী হৈ আছিল, কিন্তু তেওঁৰ উত্তৰাধিকাৰীসকলৰ অধীনত ক্ৰমান্বয়ে ব্যৱস্থাটো দুৰ্বল হৈ পৰিছিল।"
He acted as the Home Minister during the political integration of India and the Indo-Pakistani War of 1947.,ভাৰতৰ ৰাজনৈতিক সংহতি আৰু ১৯৪৭ চনৰ ভাৰত-পাকিস্তানৰ যুদ্ধৰ সময়ত তেওঁ গৃহমন্ত্ৰী হিচাপে কাম কৰিছিল।
"With Shuja and Murad disposed of, and with his father immured in Agra, Aurangzeb pursued Dara Shikoh, chasing him across the north-western bounds of the empire.",শ্বুজা আৰু মুৰাদৰ পতনৰ লগে লগে আৰু তেওঁৰ দেউতাকক আগ্ৰাত বন্দী কৰাৰ লগে লগে ঔৰঙ্গজেবে দাৰা শ্বিকোহক পাছে পাছে খেদি নি তেওঁক সাম্ৰাজ্যৰ উত্তৰ-পশ্চিম সীমা পাৰ কৰি পঠিয়াইছিল।
"Sometime later, the Dabhades were also arrested, and deprived of their jagirs and titles.",কিছুদিন পিছত দভাদেসকলকো আটক কৰা হৈছিল আৰু তেওঁলোকৰ জাগিৰ আৰু উপাধিৰ পৰা বঞ্চিত কৰা হৈছিল।
"On 14 September 1752, the two took oaths at Khandoba temple in Jejuri, promising mutual peace.",১৭৫২ চনৰ ১৪ ছেপ্টেম্বৰত দুয়োজনে পাৰস্পৰিক শান্তিৰ প্ৰতিশ্ৰুতি দি জেজুৰিৰ খাণ্ডোবা মন্দিৰত শপত গ্ৰহণ কৰিছিল।
The assassin was apprehended and ordered to be beheaded by the Emperor.,হত্যাকাৰীজনক আটক কৰা হৈছিল আৰু সম্ৰাটে শিৰচ্ছেদ কৰিবলৈ নিৰ্দেশ দিছিল।
"Although she crushed the mutiny, she realized that it would be difficult to continue the fight against Balaji Rao.","যদিও তেওঁ বিদ্ৰোহটো দমন কৰিছিল, তথাপিও তেওঁ উপলব্ধি কৰিছিল যে বালাজী ৰাওৰ বিৰুদ্ধে যুঁজ অব্যাহত ৰখাটো কঠিন হ’ব।"
"He was precipitously forced out of Seringapatam, leaving his family, including his son Tipu Sultan, under house arrest.","তেওঁক ছেৰিঙ্গাপটমৰ পৰা হুৰমূৰকৈ বাহিৰলৈ যাবলৈ বাধ্য কৰা হৈছিল, যাৰ ফলত তেওঁৰ পুত্ৰ টিপু চুলতানকে ধৰি তেওঁৰ পৰিয়ালটো গৃহবন্দী হ'ব লগা হৈছিল।"
"He was very cautious in his diplomacy with the Nizam of Hyderabad, who was, according to an official Mughal firman, the sovereign of all Muslim-ruled territories in southern India.","এক চৰকাৰী মোগল ফাৰ্মানৰ মতে তেওঁ হায়দৰাবাদৰ নিজামৰ সৈতে তেওঁৰ কূটনীতিত অতি সতৰ্ক আছিল, যি দক্ষিণ ভাৰতৰ সকলো মুছলমান শাসিত অঞ্চলৰ সাৰ্বভৌম ৰজা আছিল।"
"The attempt was made when Akbar was returning from a visit to the dargah of Hazrat Nizamuddin near Delhi, by an assassin shooting an arrow.",দিল্লীৰ সমীপৰ হজৰত নিজামুদ্দিনৰ দৰগাহ ভ্ৰমণৰ পৰা উভতি অহাৰ সময়তে আকবৰক এজন হত্যাকাৰীয়ে কাঁড় মাৰি হত্যাৰ চেষ্টা কৰিছিল।
"He did not leave Fatehpur Sikri on a military campaign until 1581, when Punjab was again invaded by his brother, Mirza Muhammad Hakim.",১৫৮১ চনত তেওঁৰ ভাতৃ মিৰ্জা মহম্মদ হাকিমে পুনৰ পঞ্জাৱত আক্ৰমণ কৰালৈকে তেওঁ ফতেহপুৰ ছিক্ৰীৰ সামৰিক অভিযান এৰি যোৱা নাছিল।
"He went first to the Uzbeks, then returned to Gondwana where he was pursued by Mughal forces.","তেওঁ প্ৰথমে উজবেকসকলৰ ওচৰলৈ গৈছিল, তাৰ পিছত গণ্ডৱানালৈ উভতি যায়, য'ত মোগল বাহিনীয়ে তেওঁক অনুসৰণ কৰিছিল।"
"In 1567, Akbar moved to reduce the Chittor Fort in Mewar.",১৫৬৭ চনত আকবৰে মেৱাৰৰ চিট্টোৰ দুৰ্গ নিঃশেষ কৰিবলৈ আগবাঢ়িছিল।
"Beginning in 1561, the Mughals actively engaged the Rajputs in warfare and diplomacy.",১৫৬১ চনৰ পৰা আৰম্ভ কৰি মোগলসকলে ৰাজপুতসকলক যুদ্ধ আৰু কূটনীতিত সক্ৰিয়ভাৱে জড়িত কৰি ৰাখিছিল।
No imperial power in India based on the Indo-Gangetic plains could be secure if a rival centre of power existed on its flank in Rajputana.,যদিহে ৰাজপুতানাৰ সীমাৰ ফালে ক্ষমতাৰ প্ৰতিদ্বন্দী কেন্দ্ৰ থাকে তেন্তে সিন্ধু-গংগা সমভূমিৰ ওপৰত ভিত্তি কৰি ভাৰতত কোনো সাম্ৰাজ্যিক শক্তি সুৰক্ষিত হ'ব নোৱাৰে।
"Having established Mughal rule over northern India, Akbar turned his attention to the conquest of Rajputana.",উত্তৰ ভাৰতত মোগল শাসন প্ৰতিষ্ঠা কৰাৰ পিছত আকবৰে ৰাজপুতানা বিজয়ৰ প্ৰতি মন মেলিছিল।
"The culprit was a slave of Mirza Sharfuddin, a noble in Akbar's court whose rebellion had recently been curbed.","অপৰাধীজন আকবৰ দৰবাৰৰ এগৰাকী সম্ভ্রান্ত ব্যক্তি মিৰ্জা শ্বৰফুদ্দিনৰ দাস আছিল, যিজনৰ বিদ্রোহ শেহতীয়াকৈ দমন কৰা হৈছিল।"
"Finally, he submitted and Akbar restored him to his previous position.",অৱশেষত তেওঁ আত্মসমৰ্পণ কৰিলে আৰু আকবৰে তেওঁক পূৰ্বৰ পদত পুনৰ অধিষ্ঠিত কৰিলে।
"Kamala Devi, a younger sister of Durgavati, was sent to the Mughal harem.",দুৰ্গাৱতীৰ সৰু ভনীয়েক কমলা দেৱীক মোগল হাৰেমলৈ পঠিওৱা হৈছিল।
"However, from that time on, the benchmark of his economic view remained Marxist, adapted, where necessary, to Indian circumstances.","তথাপিও, সেই সময়ৰ পৰাই তেওঁৰ অৰ্থনৈতিক দৃষ্টিভংগীৰ মানদণ্ড প্ৰয়োজন সাপেক্ষে ভাৰতীয় পৰিস্থিতিৰ লগত খাপ খোৱাকৈ মাৰ্ক্সবাদী হৈয়েই থাকিল।"
"Appealed by its ideas but repelled by some of its tactics, he never could bring himself to buy Karl Marx's words as revealed gospel.",ইয়াৰ চিন্তাধাৰাৰ দ্বাৰা আকৰ্ষিত হৈ কিন্তু ইয়াৰ কিছুমান কৌশলৰ দ্বাৰা বিতৃষ্ণাপূৰ্ণ হৈ তেওঁ কেতিয়াও কাৰ্ল মাৰ্ক্সৰ উক্তিবোৰ কিনিব নোৱাৰিলে।
Time later spent incarcerated enabled him to research Marxism more deeply.,পিছলৈ কাৰাগাৰত কটোৱা সময়খিনিয়ে তেওঁক মাৰ্ক্সবাদৰ বিষয়ে অধিক গভীৰভাৱে গৱেষণা কৰিবলৈ সক্ষম কৰি তুলিছিল।
It's the visit that sparked his interest in Marxism and his socialist thought pattern.,এই ভ্ৰমণেই তেওঁৰ মাৰ্ক্সবাদ আৰু সমাজবাদী চিন্তাধাৰাৰ প্ৰতি আগ্ৰহ জগাই তুলিছিল।
"Nehru remarked about the unprecedented popular response, ""it seemed as though a spring had been suddenly released"".","নেহৰুৱে অভূতপূৰ্ব জনপ্ৰিয় সঁহাৰিৰ বিষয়ে মন্তব্য কৰি কয় যে, ""এনে লাগিছিল যেন হঠাতে এটা বসন্ত আৱিৰ্ভাৱ হ'ল""।"
The fall of Chittorgarh was followed up by a Mughal attack on the Ranthambore Fort in 1568.,চিতোৰগড়ৰ পতনৰ পিছত ১৫৬৮ চনত ৰণথামবোৰ দুৰ্গত মোগলসকলে আক্ৰমণ কৰিছিল।
Most of the Rajput kings had submitted to the Mughals.,অধিকাংশ ৰাজপুত ৰজা মোগলসকলৰ অধীনত আছিল।
Akbar slew the rebel leaders and erected a tower out of their severed heads.,আকবৰে বিদ্ৰোহী নেতাসকলক বধ কৰি তেওঁলোকৰ কটা মূৰেৰে এটা মিনাৰ নিৰ্মাণ কৰিছিল।
"He was defeated by the Mughal general, Khan Jahan Quli, and had to flee into exile.",তেওঁ মোগলৰ সেনাপতি খান জাহান কুলীৰ হাতত পৰাজিত হৈ দেশ এৰি পলাই যাবলগীয়া হৈছিল।
"A year later, however, Daud Khan rebelled and attempted to regain Bengal.",কিন্তু এবছৰৰ পাছত দাউদ খানে বিদ্ৰোহ কৰি পুনৰ বংগ দখল কৰাৰ চেষ্টা চলায়।
Only Orissa was left in the hands of the Karrani dynasty as a fief of the Mughal Empire.,কেৱল উৰিষ্যাক মোগল সাম্ৰাজ্যৰ কৰতলীয়া হিচাপে কাৰানী ৰাজবংশৰ হাতত এৰি দিয়া হৈছিল।
"Munim Khan, the Mughal governor of Bihar, was ordered to chastise Daud Khan, but later, Akbar himself set out to Bengal.",বিহাৰৰ মোগল শাসক মুনিম খানক দাউদ খানক শাস্তি দিবলৈ নিৰ্দেশ দিয়া হৈছিল যদিও পিছত আকবৰে নিজেই বংগলৈ ৰাওনা হৈছিল।
"While Sulaiman Khan scrupulously avoided giving offence to Akbar, his son, Daud Khan, who had succeeded him in 1572, decided otherwise.","যদিও চুলেমান খানে আকবৰক বিৰোধিতা কৰাৰ পৰা বিৰত আছিল, ১৫৭২ চনত উত্তৰাধিকাৰী হোৱা তেওঁৰ পুত্ৰ দাউদ খানে বিৰোধিতা কৰিছিল।"
"The only centre of Afghan power was now in Bengal, where Sulaiman Khan Karrani, an Afghan chieftain whose family had served under Sher Shah Suri, was reigning in power.","এতিয়া আফগান শক্তিৰ একমাত্ৰ কেন্দ্ৰ বংগত আছিল, য'ত এজন আফগান শাসক ছুলেইমান খান কাৰাণীয়ে ৰাজত্ব কৰি আছিল, যাৰ পৰিয়ালে শ্বেৰ শ্বাহ ছুৰিৰ বাবে সেৱা আগবঢ়াইছিল।"
Akbar had now defeated most of the Afghan remnants in India.,আকবৰে এতিয়া ভাৰতৰ প্ৰায়বোৰ অৱশিষ্ট আফগান ৰাজ্যক পৰাস্ত কৰিছিল।
"The outnumbered Mughal army then won a decisive victory on September 2, 1573.",১৫৭৩ চনৰ ২ ছেপ্টেম্বৰত অধিক সংখ্যক মোগল সেনাই এক নিৰ্ণায়ক বিজয় লাভ কৰিছিল।
